frame,left_knee_angle,right_knee_angle
0,175.6644729277715,175.74910207399617
1,175.74876920182047,175.58090354096572
2,175.90803923083996,175.32052110597266
3,176.12140880801027,175.05824373204484
4,176.35569573114648,174.85075213568965
5,176.572577903658,174.72055801251304
6,176.7365329345271,174.66754357122227
7,176.81058768204753,174.6658831341914
8,176.7423653486495,174.65911188984757
9,176.4495972790538,174.58066431001518
10,175.82137150381828,174.4115585967875
11,174.7689895978457,174.23053277546245
12,173.30692594459074,174.18084906698826
13,171.5483710085809,174.3525252602601
14,169.58204476782598,174.67821092418404
15,167.40398996972021,174.9480524083151
16,165.04934894914368,174.96212455967733
17,162.7965755408507,174.7165535201638
18,161.16337773529747,174.44908046006876
19,160.57034574931254,174.45868330479814
20,160.891096481498,174.82648292603616
21,161.33639793848099,175.29478047070128
22,160.90646311594267,175.45024787753735
23,159.06654035354276,175.05573835947573
24,156.03794592283668,174.2008507546513
25,152.53200691859533,173.14351522497392
26,149.2960603880184,172.06819587183136
27,146.83869380725324,171.0364797650795
28,145.36823966898925,170.11679984770174
29,144.83171717790282,169.46063271158164
30,145.01999221016032,169.21109534220082
31,145.7364600123128,169.37752846679513
32,146.9331675428203,169.8440912435903
33,148.69147793393415,170.4952010176079
34,151.0696948526823,171.30302427294205
35,153.99771789345624,172.29143241167026
36,157.3353557478225,173.43763347113386
37,160.98193751829822,174.61266661154667
38,164.82819566372774,175.6051937244294
39,168.55295037826187,176.21901361532596
40,171.5724178228249,176.39080245667677
41,173.36683727946271,176.24242505535824
42,173.91680204711616,176.0283228930985
43,173.7524506836489,176.01447661981965
44,173.54627686607523,176.34461819134447
45,173.68008869120092,176.95880274313302
46,174.15130071004177,177.62369223236928
47,174.76611361907274,178.03870524783466
48,175.3522434017157,177.90743816826276
49,175.82056492758372,176.95348857047048
50,176.0939698097257,174.95896585101946
51,176.02617270656899,171.8701323638963
52,175.42210935778584,167.90790696127243
53,174.16837189662522,163.54495002029373
54,172.3577376494581,159.27318916580117
55,170.26737277871337,155.3163409540115
56,168.17324396868878,151.57517538761013
57,166.1745611870133,147.8391177438305
58,164.22868741964112,143.9894477287945
59,162.33506836706331,140.04333701378823
60,160.59297906158903,136.18306931768583
61,159.06215137509707,132.84263305538005
62,157.6719587575511,130.67075483632803
63,156.3380551454105,130.24509122261958
64,155.13171239895541,131.70513316133864
65,154.28284146063632,134.61468437756088
66,154.03060503330732,138.20891501237287
67,154.49669714778986,141.85528950150004
68,155.67876990726944,145.34022539106059
69,157.49645765871173,148.77476360319616
70,159.80603367339793,152.32061755508795
71,162.41879614142556,156.05290211777154
72,165.1670387829257,159.99306404938855
73,167.94407173306334,164.11014992926926
74,170.6553433773797,168.22187701360636
75,173.1523719810346,171.95304870186274
76,175.2400404388312,174.88436938239553
77,176.74428566761668,176.7991501998796
78,177.56003553935054,177.79869629993235
79,177.64018218455857,178.17889556268375
80,176.96185988975586,178.19312352032833
81,175.52085803427707,177.90454349806535
82,173.36505397429355,177.23026840978778
83,170.61991147512217,176.14021483169242
84,167.45733432330945,174.83100791526067
85,164.02880082217166,173.66283386750794
86,160.44205104791718,172.89053368909688
87,156.81431349938742,172.50624905033754
88,153.34028217820497,172.38857090929656
89,150.29519860715143,172.53703844246613
90,147.9557887624304,173.0540197930047
91,146.48321937476035,173.89688227548635
92,145.85556015110248,174.74927845249175
93,145.91967884685212,175.20867149490672
94,146.50746127509606,175.08519243139938
95,147.45640768560787,174.49522170212893
96,148.47970819390954,173.68770065904044
97,149.10333401870966,172.807387382963
98,148.90890358162494,171.8331424205516
99,147.9226818488941,170.74827657267656
100,146.69854105004814,169.71973836126378
101,145.94101734589708,169.0297921716265
102,146.05061537472886,168.84948691935645
103,147.0432277694174,169.15554122088906
104,148.83350169679463,169.8365647121717
105,151.4800997132677,170.7842470261281
106,155.10458222460355,171.88319262063334
107,159.59592234069336,172.98351487029655
108,164.42469806809186,173.9104189622218
109,168.76971807980271,174.50808419390992
110,171.91130779470174,174.72035263651586
111,173.62713649993347,174.65006524134577
112,174.25991293536202,174.49326382597448
113,174.39531348525412,174.377715744215
114,174.4736725799327,174.27402506549063
115,174.66289045244775,174.05290071544007
116,174.9573139410737,173.58249355287907
117,175.21548847440104,172.7534560831614
118,175.0061853279075,171.37006494710747
119,173.38074510967786,168.89883350325232
120,168.88617874363436,164.12672334396345
121,160.21540099352694,155.12960728074788
122,147.44962230069578,140.22563087273628
123,132.78632829437865,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,179.18532140852193,175.3135139601973
161,179.17226961159196,175.30117996285242
162,179.190307182287,175.34489755169216
163,179.2587531152778,175.46649373990402
164,179.37049224322416,175.654049801741
165,179.48993474122238,175.86342365364214
166,179.57363032555602,176.0419691687885
167,179.5972380410028,176.16132781638873
168,179.564733525828,176.22516184811514
169,179.49952779845532,176.24892931439734
170,179.43183357920972,176.24617349124748
171,179.38942424406721,176.2352020542831
